id,headline,target_title,truth_mean,label,pred,error_type,pattern
809095866451709952,Introducing our first-ever tally of America's wealthiest celebrities:,America's Richest Celebrities 2016: George Lucas Leads Steven Spielberg And Oprah,0.86666666664,1,0,false_negative,other
845645646317178881,An anti-Trump movement is calling for the boycott of these 36 DAPL-linked banks,An anti-Trump movement is calling for the boycott of these 36 DAPL-linked banks,0.66666666664,1,0,false_negative,curiosity_gap
836955442408538112,"The new ""Beauty And The Beast"" features Disney’s first gay character","The New ""Beauty And The Beast"" Features Disney’s First Gay Character",0.46666666664,1,0,false_negative,other
828216628194197504,She’s 59 and fit to jump from an airplane,She’s 59 and Fit to Jump From an Airplane,0.4666666666199999,0,1,false_positive,other
848375128362811392,"The Trump administration banned laptops, so this airline is passing them out","The Trump Administration Banned Laptops, So One Airline Is Passing Them Out",0.33333333332,0,1,false_positive,curiosity_gap
816366542908772352,E Ink unveils world's largest ePaper display #MashCES,E Ink unveils world's largest ePaper display at CES,0.5333333333,1,0,false_negative,other
823924622169083906,The biggest #OscarNoms snubs and surprises  via @TODAYshow,No love for Tom Hanks or Amy Adams? See the biggest Oscar snubs and surprises,0.13333333332,0,1,false_positive,other
851223180937228292,Selena Gomez &amp; The Weeknd snuggle up in sweet Instagram selfie,Selena Gomez & The Weeknd Snuggle Up in Sweet Instagram Selfie,0.79999999998,1,0,false_negative,other
847139042256982020,Are you on track to reach your retirement goals? Find out:,Retirement Checkup,0.5333333333,0,1,false_positive,rhetorical_question
839261649664036864,21 things you know if you live paycheck to paycheck,21 Things You Know If You Live Paycheck To Paycheck,0.59999999998,0,1,false_positive,listicle
847049720451256321,This 'Game of Thrones' actor will feature in the British TV show you should be watching,This iconic 'Game of Thrones' actor will feature in 'Peaky Blinders' Season 4,0.3333333333,0,1,false_positive,direct_address
814852634842722304,My dad is cross-dressing and Mum is bitter. What can I do to help?,My dad is cross-dressing and Mum is bitter. What can I do to help?,0.46666666664,0,1,false_positive,rhetorical_question
844171777664323585,The faces of defeat from #MarchMadness  via @YahooSports,March sadness: Faces of defeat,0.3999999999799999,0,1,false_positive,other
852866115403489282,EASTER VIOLENCE? Fugitive purportedly writes letter threatening churches,Joseph Jakubowski manhunt: Fugitive purportedly writes letter threatening violence on Easter Sunday ,0.59999999996,1,0,false_negative,rhetorical_question
841145043863908353,This corgi went to a museum for his third birthday and he looked very happy,This Corgi Went To A Museum For His Third Birthday And He Looked Very Happy,0.46666666664,1,0,false_negative,curiosity_gap
826608008490786816,How Neil Gorsuch became Donald Trump's Supreme Court nominee,How Neil Gorsuch became Donald Trump's Supreme Court nominee,0.53333333332,1,0,false_negative,other
815777392341811200,You’re wrong if you don’t think chihuahuas are the best dogs on this good Earth,You’re Wrong If You Don’t Think Chihuahuas Are The Best Dogs On This Good Earth,0.66666666662,1,0,false_negative,direct_address
818116200853098497,"Diego Luna found his son spilling ""Rogue One"" secrets to impress girls",Diego Luna Found His Son Spilling 'Rogue One' Secrets To Impress Girls,0.13333333332,0,1,false_positive,other
829721185147568128,A complete guide to this weekend's sneaker releases,A Complete Guide to This Weekend's Sneaker Releases,0.59999999994,1,0,false_negative,curiosity_gap
832201774677258240,Why Manchester By the Sea should win the best picture Oscar,Why Manchester By the Sea should win the best picture Oscar,0.5333333333,1,0,false_negative,curiosity_gap
825793786706026497,Playing with dolls just ONCE can make girls think they need to be thin,"'Don’t give your children Barbies': Playing with dolls just ONCE can make girls think they need to be thin, researchers claim",0.3999999999599999,0,1,false_positive,other
